ID	title	year	runtime	rating	votes	budget	opening_weekend_usa	gross_usa	worldwide_gross	genres
tt0177971	The Perfect Storm	2000	130	6.4	149153	140000000	41325042	182618434	328718434	Action,Adventure,Drama
tt0179098	Moonlight Mile	2002	117	6.6	13024	21000000	329771	6835856	10011050	Drama,Romance
tt0179183	Fortress 2	2000	92	4.5	6197	11000000	n/a	n/a	n/a	Action,Sci-Fi
tt0179626	15 Minutes	2001	120	6.1	46902	60000000	10523154	24403552	56359980	Action,Crime,Drama
tt0180052	The Adventures of Pluto Nash	2002	95	3.8	23419	100000000	2182900	4420080	7103973	Action,Comedy,Sci-Fi
tt0180073	Quills	2000	124	7.3	49656	13500000	249383	7065332	17989227	Biography,Drama
tt0180093	Requiem for a Dream	2000	102	8.3	716980	4500000	64770	3635482	7390108	Drama
tt0180734	Hardball	2001	106	6.4	26772	32000000	9386342	40222729	44102389	Drama,Sport
tt0181151	What Planet Are You From?	2000	105	5.6	8849	60000000	3008746	6291602	14145677	Comedy,Sci-Fi
tt0181536	Finding Forrester	2000	136	7.3	79800	43000000	701207	51804714	80049764	Drama
tt0181689	Minority Report	2002	145	7.6	478845	102000000	35677125	132072926	358372926	Action,Crime,Mystery
tt0181739	Osmosis Jones	2001	95	6.3	30379	70000000	5271248	13596911	14026418	Action,Adventure,Animation
tt0181852	Terminator 3: Rise of the Machines	2003	109	6.3	359297	200000000	44041440	150371112	433371112	Action,Sci-Fi
tt0181865	Traffic	2000	147	7.6	188271	48000000	184725	124115725	207515725	Crime,Drama,Thriller
tt0181875	Almost Famous	2000	122	7.9	238557	60000000	2314646	32534850	47383689	Adventure,Comedy,Drama
tt0181984	Boiler Room	2000	120	7.0	47026	7000000	5742129	16970581	28780255	Crime,Drama,Thriller
tt0182000	The Caveman's Valentine	2001	105	5.8	6146	13500000	112041	687194	794481	Crime,Drama,Music
tt0183505	Me, Myself & Irene	2000	116	6.6	212765	51000000	24209385	90570999	149270999	Comedy
tt0183523	Mission to Mars	2000	114	5.7	67866	100000000	22855247	60883407	110983407	Adventure,Sci-Fi,Thriller
tt0183649	Phone Booth	2002	81	7.0	240453	13000000	15021088	46566212	97837138	Crime,Thriller
tt0183659	Pollock	2000	122	7.0	25834	6000000	44244	8598593	10994533	Biography,Drama
tt0183790	A Knight's Tale	2001	132	6.9	160683	65000000	16511391	56569702	117487473	Action,Adventure,Romance
tt0183869	Taxi 2	2000	88	6.5	48564	n/a	n/a	626164	60726164	Action,Comedy,Crime
tt0184791	O	2001	95	6.1	18703	5000000	5655658	16025437	19260537	Drama,Romance,Thriller
tt0184858	Reindeer Games	2000	104	5.8	35990	42000000	8128356	23368995	32168970	Action,Adventure,Crime
tt0184894	Shanghai Noon	2000	110	6.5	113823	55000000	15607034	56937502	99274467	Action,Adventure,Comedy
tt0184907	Snow Day	2000	89	5.1	10864	13000000	14331819	60020107	62464731	Adventure,Comedy,Family
tt0185014	Wonder Boys	2000	107	7.3	59326	55000000	5808919	19393557	33426588	Comedy,Drama
tt0185183	Battlefield Earth	2000	118	2.5	73638	73000000	11548898	21471685	29725663	Action,Adventure,Sci-Fi
tt0185431	Little Nicky	2000	90	5.3	93340	85000000	16063904	39464775	58292295	Comedy,Fantasy
tt0186045	Drowning Mona	2000	96	5.7	12777	37000000	5802229	15506764	15910104	Comedy,Crime,Mystery
tt0186151	Frequency	2000	118	7.3	96151	31000000	9025584	45010278	68106245	Crime,Drama,Mystery
tt0186566	Space Cowboys	2000	130	6.4	70048	65000000	18093776	90464773	128884132	Action,Adventure,Thriller
tt0186589	Sugar & Spice	2001	81	5.7	13023	27000000	5891176	13305101	16923761	Comedy,Crime
tt0186894	Bounce	2000	106	5.7	19379	35000000	11423716	36805288	53425292	Drama,Romance
tt0186975	Down to You	2000	91	5.0	13792	11000000	7602507	20069008	24419914	Comedy,Drama,Romance
tt0187078	Gone in 60 Seconds	2000	118	6.5	249702	90000000	25336048	101648571	237202299	Action,Crime,Thriller
tt0187393	The Patriot	2000	165	7.2	241679	110000000	22413710	113330342	215294342	Action,Drama,History
tt0187512	Slap Her, She's French!	2002	92	5.0	5263	10000000	n/a	n/a	1789525	Comedy,Romance
tt0187696	Anatomy	2000	103	6.1	11187	n/a	5725	9660	10501958	Horror,Thriller
tt0187738	Blade II	2002	117	6.7	190354	54000000	32528016	82348319	155010032	Action,Horror,Sci-Fi
tt0188453	Birthday Girl	2001	93	6.1	23568	13000000	2370809	5142576	16171098	Comedy,Crime,Thriller
tt0189192	Just Visiting	2001	88	5.8	17572	35000000	2272489	4781539	16176732	Comedy,Fantasy,Sci-Fi
tt0189998	Shadow of the Vampire	2000	92	6.9	38611	8000000	150171	8293784	11155214	Drama,Horror
tt0190138	The Whole Nine Yards	2000	98	6.7	104812	41300000	13731070	57262492	106371651	Comedy,Crime
tt0190332	Crouching Tiger, Hidden Dragon	2000	120	7.8	243210	17000000	663205	128078872	213525736	Action,Adventure,Fantasy
tt0190374	Dungeons & Dragons	2000	107	3.6	30876	45000000	7237422	15391970	33978694	Action,Adventure,Fantasy
tt0190590	O Brother, Where Art Thou?	2000	107	7.7	269492	26000000	195104	45512588	71868327	Adventure,Comedy,Crime
tt0190861	Vatel	2000	103	6.6	7075	36000000	16032	51080	184301	Biography,Drama,Romance
tt0190865	Vertical Limit	2000	124	5.9	56051	75000000	15507845	69243859	215663859	Action,Adventure,Drama
tt0191133	The Fighting Temptations	2003	123	5.5	6500	30000000	11758372	30250745	32445215	Comedy,Drama,Music
tt0191397	The Replacements	2000	118	6.6	55407	50000000	11039214	44737059	50054511	Comedy,Sport
tt0191636	The Widow of Saint-Pierre	2000	112	7.2	5153	n/a	31702	3193889	7193889	Drama,History,Romance
tt0191754	28 Days	2000	103	6.0	41636	43000000	10310672	37170488	62198945	Comedy,Drama
tt0192071	Get Over It	2001	87	5.7	17294	22000000	4134977	11576464	19900366	Comedy,Romance
tt0192111	Head Over Heels	2001	86	5.4	13382	14000000	4804595	10424470	13127022	Comedy,Mystery,Romance
tt0192255	The Little Vampire	2000	95	5.7	9034	35000000	5719627	13572400	27965865	Adventure,Comedy,Family
tt0192614	The Skulls	2000	106	5.6	29894	35000000	11034885	35046120	50802120	Action,Crime,Drama
tt0192731	Urban Legends: Final Cut	2000	97	4.3	15246	14000000	8505513	21468807	38574362	Horror,Mystery,Thriller
tt0193364	The Order	2001	89	4.6	7513	12000000	n/a	n/a	524637	Action,Adventure,Comedy
tt0193560	Texas Rangers	2001	90	5.2	5304	38000000	319516	623374	763740	Action,Adventure,Drama
tt0194218	Panic	2000	88	6.6	7801	1000000	18006	779137	779137	Comedy,Crime,Drama
tt0195234	Saving Grace	2000	93	6.9	16975	10000000	287452	12178602	28741330	Comedy,Crime
tt0195685	Erin Brockovich	2000	131	7.3	162390	52000000	28138465	125595205	256271286	Biography,Drama
tt0195714	Final Destination	2000	98	6.7	216229	23000000	10015822	53331147	112880294	Horror,Thriller
tt0195778	Here on Earth	2000	96	5.2	8071	15000000	4510705	10522168	10873148	Drama,Romance
tt0195945	Next Friday	2000	98	6.1	34539	11000000	14465156	57328603	59827328	Comedy
tt0196069	Samsara	2001	145	7.8	7168	3000000	n/a	n/a	3278767	Adventure,Drama,Romance
tt0196158	Ticker	2001	92	3.5	6367	7000000	n/a	n/a	379739	Action,Crime,Thriller
tt0196216	Small Time Crooks	2000	94	6.7	35186	25000000	3880723	17266359	29934477	Comedy,Crime
tt0196229	Zoolander	2001	90	6.5	235221	28000000	15525043	45172250	60780981	Comedy
tt0198021	Where the Heart Is	2000	120	6.8	30634	15000000	8292939	33772838	40863718	Comedy,Drama,Romance
tt0198386	The Crew	2000	88	5.6	4381	38000000	4051921	13023075	13105853	Comedy,Crime
tt0198781	Monsters, Inc.	2001	92	8.0	760602	115000000	62577067	289916256	632316649	Adventure,Animation,Comedy
tt0199314	About Adam	2000	97	5.8	6210	n/a	33300	159668	802951	Comedy,Romance
tt0199481	Druids	2001	120	2.7	4879	15000000	n/a	n/a	n/a	Adventure,Biography,Drama
tt0199626	In the Cut	2003	119	5.3	20783	12000000	97625	4750602	23726793	Mystery,Thriller
tt0199725	Love & Basketball	2000	124	7.2	17011	20000000	8139180	27459615	27728118	Drama,Romance,Sport
tt0199727	Love, Honor and Obey	2000	103	6.5	4896	n/a	1143	1400	1400	Comedy,Crime
tt0199753	Red Planet	2000	106	5.7	53224	80000000	8721296	17480890	33463969	Action,Sci-Fi,Thriller
tt0200027	Riding in Cars with Boys	2001	132	6.5	25662	48000000	10404652	30165536	35743308	Biography,Comedy,Drama
tt0200192	Cheeky	2000	91	5.5	4459	n/a	n/a	n/a	n/a	Comedy,Drama
tt0200465	The Bank Job	2008	111	7.2	167705	20000000	5935256	30060660	64828421	Crime,Thriller
tt0200530	Chuck & Buck	2000	96	6.5	5079	250000	72831	1055671	1182065	Comedy,Drama
tt0200550	Coyote Ugly	2000	100	5.7	102335	45000000	17319282	60786269	113916474	Comedy,Drama,Music
tt0200720	The House of Mirth	2000	135	7.0	6886	10000000	48770	3043284	5164404	Drama,Romance
tt0201485	The Body	2001	109	5.3	7095	30000000	19988	36849	280777	Drama,Mystery,Romance
tt0202402	Whatever It Takes	2000	94	5.5	9322	32000000	4104298	8745680	9902115	Comedy,Drama,Romance
tt0202470	Rock Star	2001	105	6.3	39339	57000000	6018636	17008282	19334145	Drama,Music
